host_is_superhost,bathrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,log_price,room_type_Private room,room_type_Shared room,distance_to_cbd
0,1.5,1.0,2,3,70.0,1,2,4.700480365792417,True,False,2.3487866066396914
0,1.0,1.0,1,5,88.0,0,17,4.02535169073515,True,False,1.9594680237685267
0,1.5,1.0,2,3,93.0,1,1,4.276666119016055,True,False,6.169101803115854
0,1.0,1.0,1,3,100.0,1,1,3.4339872044851463,False,False,3.4457869530469187
0,2.0,3.0,2,18,81.0,1,10,5.393627546352362,False,False,0.8416343608322865
0,1.0,1.0,2,16,96.0,0,1,4.61512051684126,False,False,1.3106302959932368
0,1.0,2.0,7,2,100.0,1,1,4.276666119016055,False,False,10.527321683043416
1,1.0,1.0,2,14,99.0,0,1,3.4011973816621555,True,False,29.58988884780804
0,1.0,2.0,2,18,86.0,0,1,5.017279836814924,False,False,0.44313586874392136
0,2.0,1.0,1,10,100.0,1,9,3.9318256327243257,True,False,8.762626062377011
1,1.0,3.0,2,34,95.0,0,1,4.795790545596741,False,False,7.599730624688208
0,1.0,1.0,2,12,95.0,1,1,4.442651256490317,False,False,8.528086881849417
0,2.5,3.0,1,42,88.0,0,26,5.049856007249537,False,False,14.920759333944876
1,1.0,2.0,3,7,93.0,0,10,5.087596335232384,False,False,5.354254636266227
0,2.0,2.0,2,14,99.0,0,3,5.017279836814924,False,False,7.112013769855039
0,1.5,1.0,1,6,97.0,1,6,3.4339872044851463,True,False,22.26573439954847
0,2.0,2.0,3,21,89.0,0,1,5.0689042022202315,False,False,8.185153802155462
1,1.0,1.0,1,16,96.0,1,2,4.663439094112067,False,False,3.8755718777709864
0,2.0,3.0,1,158,88.0,1,40,5.111987788356544,False,False,0.7245448833912791
1,2.0,3.0,1,18,93.0,1,38,6.68586094706836,False,False,0.707850167982048
0,2.0,4.0,1,2,100.0,1,4,6.68586094706836,False,False,3.892035515951219
0,1.0,1.0,1,2,100.0,1,1,4.394449154672439,True,False,2.616416436880995
1,1.5,3.0,3,9,95.0,1,2,5.25227342804663,False,False,10.0271416231585
0,1.0,2.0,1,33,99.0,0,1,4.61512051684126,True,False,3.9743699355300346
0,1.0,2.0,2,72,91.0,0,50,5.231108616854587,False,False,6.137392888994289
0,2.0,2.0,1,4,85.0,1,2,5.14166355650266,False,False,1.4336150956169373
1,1.0,1.0,1,34,97.0,1,2,4.248495242049359,True,False,2.725159121007988
0,1.0,2.0,7,1,80.0,1,1,4.584967478670572,False,False,5.64570908106902
0,2.0,1.0,4,7,91.0,0,1,4.02535169073515,True,False,0.8850270284551538
0,1.0,1.0,1,4,85.0,1,1,3.4339872044851463,True,False,1.2711146631963703
0,2.5,3.0,1,1,100.0,0,8,6.045005314036012,True,False,22.592793347546934
0,1.0,1.0,1,7,93.0,1,2,3.6375861597263857,True,False,1.8255641429319565
1,1.0,1.0,1,12,93.0,0,1,4.330733340286331,True,False,0.8154423287489381
0,1.5,1.0,1,23,96.0,1,1,3.9318256327243257,True,False,8.18964047483009
0,1.0,1.0,1,44,88.0,1,3,4.204692619390966,True,False,2.033632145594751
1,1.5,3.0,1,19,97.0,0,1,4.890349128221754,False,False,8.585514147776124
0,1.0,2.0,5,1,100.0,1,50,4.68213122712422,False,False,0.5258103694604336
1,1.0,2.0,7,1,80.0,0,3,4.5217885770490405,False,False,5.878318905950845
1,2.0,2.0,2,25,97.0,1,1,4.948759890378168,False,False,5.357189444095624
0,1.0,2.0,3,2,80.0,1,1,4.61512051684126,False,False,4.868708158306991
0,1.0,2.0,1,10,82.0,1,36,4.700480365792417,False,False,0.6756252247090496
0,1.0,1.0,2,15,96.0,1,2,4.700480365792417,False,False,0.9230447676440455
0,1.0,2.0,1,5,76.0,1,50,4.836281906951478,False,False,1.4148737368579356
0,1.0,2.0,3,7,97.0,1,50,5.087596335232384,False,False,3.956338060976228
0,1.0,2.0,3,4,90.0,0,1,4.574710978503383,False,False,7.663279529354515
1,1.0,2.0,1,57,100.0,1,1,4.330733340286331,True,False,64.89413841511683
0,1.0,1.0,1,22,96.0,1,2,4.700480365792417,False,False,0.5963035469265879
1,1.0,4.0,4,44,97.0,0,1,4.9344739331306915,False,False,14.381709167413902
0,1.0,2.0,1,53,86.0,1,1,5.529429087511423,False,False,0.8584252476597961
1,1.0,2.0,1,95,99.0,0,6,5.135798437050262,False,False,0.5236227776400079
0,1.0,2.0,1,2,100.0,0,9,5.017279836814924,False,False,1.8519994648585345
1,2.0,4.0,3,29,98.0,1,2,5.707110264748875,False,False,2.32693026711436
0,1.5,1.0,1,17,99.0,0,1,3.6109179126442243,True,False,5.952734586906283
0,1.0,2.0,14,11,90.0,0,5,4.867534450455582,False,False,0.4850142189692242
0,1.0,2.0,2,20,94.0,1,2,5.017279836814924,False,False,4.63975443211432
1,1.0,2.0,2,159,95.0,1,50,4.61512051684126,False,False,5.171016728787097
0,1.0,1.0,7,18,92.0,0,1,4.700480365792417,False,False,5.954682202595061
1,1.0,1.0,3,151,100.0,1,5,5.087596335232384,False,False,0.7353849580494579
0,1.0,3.0,6,3,100.0,0,1,4.7535901911063645,False,False,8.519022827890499
0,1.0,1.0,1,2,90.0,0,1,3.713572066704308,True,False,8.105154049509236
0,2.0,3.0,1,40,93.0,1,24,5.231108616854587,False,False,0.6026815697662493
1,1.0,1.0,1,64,97.0,1,4,4.700480365792417,False,False,0.7164467610628403
0,2.0,4.0,1,31,90.0,1,3,5.135798437050262,False,False,0.8706560822448342
1,1.0,4.0,1,38,95.0,1,1,5.1647859739235145,False,False,24.189164663420918
0,1.0,3.0,2,6,97.0,1,47,5.153291594497779,False,False,10.85608059150611
0,1.0,1.0,5,2,80.0,0,1,4.394449154672439,True,False,1.2487295885606846
0,2.5,4.0,3,4,100.0,1,3,6.311734809152915,False,False,21.553903316253706
0,2.0,1.0,1,2,100.0,1,2,4.330733340286331,True,False,1.8705085927622924
0,1.5,2.0,2,3,80.0,1,1,4.875197323201151,False,False,0.564995332805403
1,2.0,2.0,1,24,94.0,1,2,5.003946305945459,False,False,2.3525180858136863
0,1.0,1.0,1,172,93.0,0,7,5.298317366548036,False,False,0.9201562006313423
1,1.0,2.0,1,23,98.0,1,1,4.189654742026425,True,False,28.438925192358653
0,1.0,1.0,7,2,80.0,1,2,3.8501476017100584,True,False,1.422337709051431
1,2.0,2.0,3,19,93.0,0,2,4.875197323201151,False,False,4.747596758563029
0,1.0,1.0,1,5,100.0,1,1,3.713572066704308,True,False,27.18959418088212
0,1.0,1.0,2,8,100.0,1,1,4.795790545596741,False,False,6.71173568127512
0,1.5,1.0,2,29,94.0,0,3,3.9318256327243257,True,False,6.493951450739966
0,1.0,1.0,10,1,100.0,0,2,3.713572066704308,True,False,7.083885549865403
0,1.0,2.0,2,30,85.0,1,1,4.61512051684126,False,False,6.014352794662174
0,1.0,2.0,5,2,100.0,0,1,4.204692619390966,False,False,3.692424447381136
0,1.0,1.0,1,16,99.0,0,1,4.442651256490317,True,False,3.4207267842091293
0,1.0,1.0,30,16,100.0,0,1,4.23410650459726,True,False,6.356434700609278
